full_name
Robert Englund
Jean Todt
Terrence Malick
Jean-Louis Trintignant
Eddie Van Halen
Ornella Muti
Jean Vigo
Carol Reed
Ernest Borgnine
Frank Oz
Jean Simmons
David Guetta
Jessica Lange
Alec Baldwin
Ben Stiller
Stellan Skarsgård
Julianne Moore
Robert Downey Jr.
Michael Schumacher
Val Kilmer
Peter Tosh
Jeremy Brett
Pete Seeger
George Kennedy
Peter Finch
Tim Robbins
Mark Harmon
Eric Idle
Richard Pryor
Chet Atkins
Chris Cooper
Alan Alda
John Schlesinger
Louise Fletcher
Vin Diesel
Emma Thompson
David Caruso
Paul Hogan
James L. Brooks
David Duchovny
Sissy Spacek
Steve Buscemi
Jon Lord
Dirk Bogarde
Kim Cattrall
Billy Bob Thornton
Danny Aiello
Hedy Lamarr
Salma Hayek
Alan Arkin
Sergei Bondarchuk
Alan Jones
Bobby McFerrin
Anjelica Huston
Ray Liotta
Farrah Fawcett
Leonardo DiCaprio
Norma Shearer
Robbie Coltrane
Ron Howard
Fernanda Montenegro
Sidney Lumet
George Takei
Daniel Auteuil
Nick Cave
Sarah Jessica Parker
Isabelle Huppert
George Stevens
William Friedkin
Peter Jackson
Mike Nichols
Tony Shalhoub
Anne Baxter
Lisa Gerrard
Ian Anderson
Jean-Pierre Léaud
Theo Angelopoulos
Jim Broadbent
Ryan O'Neal
Zsa Zsa Gábor
Claude Jade
Peggy Lee
Ralph Fiennes
Loreena McKennitt
Edward Norton
Jeff Goldblum
Cannonball Adderley
Jodie Foster
Cameron Diaz
Halle Berry
John Candy
Kevin Bacon
Ann-Margret
Larry Hagman
Edward James Olmos
Gabriel Byrne
Kitaro
Giuseppe Farina
Geena Davis
Susan Hayward
Sophie Marceau
John Goodman
Keke Rosberg
Bo Diddley
Zhang Yimou
Christopher Lambert
Wes Montgomery
Matt Damon
Tom Berenger
Hanna Schygulla
Dave Murray
André Previn
Lindsay Anderson
Yanni
Steve Morse
Till Lindemann
Helena Bonham Carter
Brandon Lee
Phil Hill
Colin Firth
Theo Jörgensmann
Andy García
Debbie Reynolds
Beau Bridges
David Morse
Adrian Smith
Jamie Lee Curtis
Jennifer Jones
Cheech Marin
Dianne Wiest
Ray Milland
Snoop Dogg
Lenny Kravitz
Slash
Joanne Woodward
Janet Gaynor
Moby
Tom Wilkinson
Robert Trujillo
Cybill Shepherd
Joe Mantegna
Teri Hatcher
Gary Moore
Damon Hill
Tim Rice
Joan Fontaine
Dave Brubeck
Holly Hunter
Jim Henson
William H. Macy
Charlie Sheen
Julie Walters
Eva Marie Saint
Derek Jacobi
Ellen DeGeneres
Melanie Griffith
Sean Bean
Linda Hamilton
Hugo Weaving
Conrad Bain
Dr. Alban
Serj Tankian
Blake Edwards
John Michael Talbot
Cate Blanchett
Forest Whitaker
Ravi Shankar
Veronica Lake
Roland Emmerich
Annie Girardot
Nick Drake
Robert Knepper
Michael Peter Balzary
Arthur Penn
Juliette Binoche
Isaac Hayes
Tim Allen
Ted Danson
Jared Leto
Janick Gers
Betty White
Ang Lee
Brendan Gleeson
Uma Thurman
William Fichtner
Terry O'Quinn
Fanny Ardant
Kiefer Sutherland
Clive Owen
Wesley Snipes
Billy Ray Cyrus
Jack Black
Catherine Zeta-Jones
John Surtees
Joe Pantoliano
Jason Newsted
Owen Wilson
Geraldine Page
Israel Kamakawiwo'ole
Gerard Butler
Billy Crystal
Lisa Kudrow
Carrie Fisher
Hugh Jackman
Luise Rainer
Alfred Molina
Jody Scheckter
Gwyneth Paltrow
Patrick Dempsey
Christoph Waltz
Michael Emerson
Patrick McGoohan
Rosanna Arquette
Tim Roth
Fran Drescher
Spike Lee
Kathleen Turner
Terry Jones
Barry Gibb
Maureen O'Hara
Karl Malden
Kyle MacLachlan
Eric Roberts
Billy Connolly
Ewan McGregor
Penélope Cruz
Daryl Hannah
Ray Manzarek
Wong Kar-wai
Izzy Stradlin
Phil Lynott
Jeff Buckley
Tilda Swinton
Chris Columbus
Ken Watanabe
Jude Law
Peggy Ashcroft
Peter Graves
Tiësto
Robert Patrick
Tony Scott
Marcia Cross
David Fincher
Danny Boyle
Aki Kaurismäki
Katey Sagal
Michele Alboreto
Satyajit Ray
Winona Ryder
Danny Kaye
Lena Olin
Suzanne Vega
Jordan Rudess
James Hunt
Richie Sambora
Avril Lavigne
Andy Kaufman
Eddie Vedder
Courteney Cox
Jane Russell
Dan Castellaneta
Daniel Day-Lewis
Gerhard Berger
Michael Biehn
Carmen Electra
Naomi Watts
Stephen Fry
John Turturro
Frances McDormand
Gong Li
Roland Ratzenberger
Hal Holbrook
Matthew Broderick
Donna Reed
Kenneth Branagh
Daniel Craig
Renée Zellweger
Shahrukh Khan
Kate Winslet
John Cusack
Orlando Bloom
Vincent Cassel
Wentworth Miller
Raj Kapoor
Jennifer Connelly
Felicity Huffman
John Frusciante
Maurice Gibb
Mika Häkkinen
Mike Myers
Dave Grohl
Nigel Hawthorne
Heather Locklear
Nanni Moretti
Michael Clarke Duncan
Brendan Fraser
Woody Harrelson
Leslie Cheung
Martin Weinek
Lucio Dalla
